States,percent
Jammu & Kashmir,68.74
Himachal Pradesh,83.78
Punjab,76.68
Chandigarh,86.43
Uttarakhand,79.63
Haryana,76.64
Delhi,86.34
Rajasthan,67.06
Uttar Pradesh,69.72
Bihar,63.82
Sikkim,82.2
Arunachal Pradesh,66.95
Nagaland,80.11
Manipura,79.85
Mizoram,91.58
Tripura,87.75
Meghalaya,75.48
Assam,73.18
West Bengal,77.08
Jharkhand,67.63
Odisha,73.45
Chhattisgarh,71.04
Madhya Pradesh,70.63
Gujarat,79.31
Daman & Diu,87.07
Dadra & Nagar Haveli,77.65
Maharashtra,82.91
Andhra Pradesh,67.66
Karnataka,75.6
Goa,87.4
Lakshadweep,92.28
Kerala,93.91
Tamil Nadu,80.33
Puducherry,86.55
Andaman & Nicobar Islands,86.27